"","ID","divenum","stime","logMDDD.x","logMDDD.y","knownState","label"
"159","A100b",356,2020-08-20 15:03:40,1.39778552919312,3.7006225855278,4,4
"160","A113a",357,2020-08-22 08:15:39,3.10450631146223,4.14166523917487,4,4
"161","A113a",373,2020-08-22 08:19:13,4.20660043666414,4.930989538126,4,4
"162","A113a",392,2020-08-22 08:26:21,1.66951951916325,3.56640491466257,4,4
"163","A113a",395,2020-08-22 08:27:27,1.79474172794524,3.4218884208557,4,4
"164","A113a",399,2020-08-22 08:28:52,1.32086295775135,3.4149174781113,4,4
"165","A113a",402,2020-08-22 08:29:54,1.13201793284709,3.66335491278213,4,4
"166","A113a",403,2020-08-22 08:30:34,4.92111390693636,5.27048266469452,4,4
"167","A113a",412,2020-08-22 08:35:14,2.16310269127268,3.5500509367247,4,4
"168","A113a",413,2020-08-22 08:35:51,1.58630349415395,3.54113504986495,4,4
"169","A113a",418,2020-08-22 08:37:31,3.89984780528817,4.67004661712596,4,4
"170","A113a",423,2020-08-22 08:39:51,4.41763772378948,4.5383229270628,4,4
"171","A113a",432,2020-08-22 08:43:26,1.382195558161,3.83115537472204,4,4
"172","A113a",433,2020-08-22 08:44:14,1.30696384306072,3.75560878547941,4,4
"173","A113a",436,2020-08-22 08:45:36,1.94904739318585,4.54583883565094,4,4
"174","A113a",440,2020-08-22 08:48:17,1.71023842280334,4.44546036159931,4,4
"175","A113a",444,2020-08-22 08:50:31,3.35224018418827,4.58924937492239,4,4
"176","A113a",449,2020-08-22 08:53:01,1.80351396347722,4.0511489806181,4,4
"177","A113a",450,2020-08-22 08:54:00,1.40753884665613,4.08553392292765,4,4
"178","A113a",455,2020-08-22 08:55:54,1.61946105565095,3.59413269297393,4,4
"179","A113a",456,2020-08-22 08:56:32,1.17495911020283,3.40564694041467,4,4
"180","A113a",457,2020-08-22 08:57:04,1.78745668231463,3.76354004589858,4,4
"181","A113a",459,2020-08-22 08:58:11,2.75141079371038,4.76361833649173,4,4
"182","A113a",466,2020-08-22 09:02:27,2.58419602822673,4.44227885655746,4,4
"183","A113a",468,2020-08-22 09:04:22,2.93272071236087,4.87251891981831,4,4
"184","A113a",475,2020-08-22 09:08:08,2.86966683560553,5.08012413055395,4,4
"185","A113a",480,2020-08-22 09:11:45,2.96113541809437,4.38959094762635,4,4
"186","A113a",485,2020-08-22 09:13:56,1.9340755895741,4.5519567053462,4,4
"187","A113a",489,2020-08-22 09:16:10,1.53477925705406,3.4861554250633,4,4
"188","A113a",491,2020-08-22 09:17:02,2.77769564262985,4.43972610281841,4,4
"189","A113a",496,2020-08-22 09:19:38,2.90320787410941,4.73731528642028,4,4
"190","A113a",505,2020-08-22 09:23:23,1.29378945510764,3.77640232556044,4,4
"191","A113a",506,2020-08-22 09:24:09,1.58676895547472,4.3652646964656,4,4
"192","A113a",513,2020-08-22 09:27:47,1.3565936007182,3.7568220072535,4,4
"193","A113a",514,2020-08-22 09:28:33,1.34499919495331,4.26304164615588,4,4
"194","A113a",519,2020-08-22 09:31:12,2.8701569097581,4.90943344794436,4,4
"195","A113a",524,2020-08-22 09:34:13,2.86178923523754,4.98625865340816,4,4
"196","A113a",528,2020-08-22 09:37:26,1.30235333314854,3.55439522748013,4,4
"197","A113a",534,2020-08-22 09:40:17,1.02927092735779,3.46440629157318,4,4
"198","A113a",535,2020-08-22 09:40:51,1.03806050712975,3.49880654137744,4,4
"199","A113a",536,2020-08-22 09:41:27,1.15862767869825,3.96585076081167,4,4
"200","A113a",540,2020-08-22 09:43:41,1.35267910555868,4.17036030702962,4,4
"201","A113a",550,2020-08-22 09:48:02,1.70737594627743,4.66781286582829,4,4
"202","A113a",557,2020-08-22 09:52:17,1.17056154992133,3.92472352726448,2,2
"203","A113a",559,2020-08-22 09:53:36,1.26046084400487,3.43837260239606,4,4
"204","A113a",565,2020-08-22 09:56:11,1.50030292813617,4.60790127654343,2,2
"205","A113a",567,2020-08-22 09:58:11,2.21403582935409,4.262032525028,4,4
"206","A113a",574,2020-08-22 10:00:48,2.45393540259023,5.00257832013131,4,4
"207","A113a",580,2020-08-22 10:04:50,2.46663659335149,4.82481480569216,4,4
"208","A113a",586,2020-08-22 10:08:26,0.967892601462453,3.55245445917142,4,4
"209","A113a",587,2020-08-22 10:09:04,1.11842532439753,3.81735213057003,4,4
"210","A113a",588,2020-08-22 10:09:53,1.20591839370651,3.60212098215548,2,2
"211","A113a",589,2020-08-22 10:10:32,1.04290398441553,3.50717125824451,2,2
"212","A113a",591,2020-08-22 10:11:37,0.706137301060273,3.60104313500167,2,2
"213","A113a",594,2020-08-22 10:13:15,1.12486062447234,3.74342241600274,4,4
"214","A113a",595,2020-08-22 10:14:00,1.03750734802561,3.53078750258462,4,4
"215","A113a",600,2020-08-22 10:16:22,0.967129137736626,3.5817478683023,2,2
"216","A113a",601,2020-08-22 10:17:00,1.24988855852533,3.48198506196978,4,4
"217","A113a",602,2020-08-22 10:17:36,1.08036953248973,3.43913125367289,4,4
"218","A113a",605,2020-08-22 10:19:08,1.19065621262809,3.59694703300097,2,2
"219","A113a",606,2020-08-22 10:19:47,1.41702819014569,3.89774549097277,2,2
"220","A113a",607,2020-08-22 10:20:39,1.2982058427965,3.63974496121858,2,2
"221","A113a",612,2020-08-22 10:23:04,1.22448000506852,3.54668454278428,4,4
"222","A113a",613,2020-08-22 10:23:41,1.19613707024712,3.98066948940617,4,4
"223","A113a",616,2020-08-22 10:25:37,1.66999418867487,3.78549529529477,4,4
"224","A113a",618,2020-08-22 10:26:42,1.01295828386193,3.5535479128861,4,4
"225","A113a",622,2020-08-22 10:28:21,1.03918793175291,3.56754530434776,4,4
"226","A113a",623,2020-08-22 10:28:59,1.04278203318059,3.5006292442514,4,4
"227","A113a",625,2020-08-22 10:29:58,0.848506254277573,3.70453125829735,4,4
"228","A113a",631,2020-08-22 10:32:15,0.982253869252304,3.60195667800441,2,2
"229","A113a",633,2020-08-22 10:33:19,1.0125986907453,3.41105721272941,2,2
"230","A113a",636,2020-08-22 10:34:27,1.10098303441317,3.54286902964254,2,2
"231","A113a",638,2020-08-22 10:35:33,0.786901464572747,3.72836345776414,2,2
"232","A113a",647,2020-08-22 10:39:30,1.12813231575788,3.71553390121507,4,4
"233","A113a",648,2020-08-22 10:40:13,0.839651364117792,3.48237662912513,4,4
"234","A113a",649,2020-08-22 10:40:49,0.846868736450057,3.60048182887867,4,4
"235","A113a",651,2020-08-22 10:42:00,0.811505403951112,3.49039773504035,2,2
"236","A113a",652,2020-08-22 10:42:35,0.898322448172235,3.42474382199273,2,2
"237","A113a",653,2020-08-22 10:43:08,1.06320175257911,3.67359482778366,2,2
"238","A113a",656,2020-08-22 10:44:43,1.05638481266911,4.08314665705551,4,4
"239","A113a",659,2020-08-22 10:46:19,1.08043460470499,3.46643545979788,4,4
"240","A113a",660,2020-08-22 10:46:54,1.06037239515943,3.452079511909,4,4
"241","A113a",661,2020-08-22 10:47:28,1.1672747155044,3.40604770287355,4,4
"242","A113a",663,2020-08-22 10:48:21,0.9747567437928,3.90153506990965,4,4
"243","A113a",666,2020-08-22 10:50:02,1.45973078949532,4.24969339938225,4,4
"244","A113a",668,2020-08-22 10:51:35,1.71268834538649,3.83517487131148,4,4
"245","A113a",670,2020-08-22 10:52:52,1.088688338345,3.85315184721778,4,4
"246","A113a",675,2020-08-22 10:54:58,1.06347657238196,3.61200067528961,4,4
"247","A113a",680,2020-08-22 10:57:30,0.951181561038973,3.81480028695537,4,4
"248","A113a",681,2020-08-22 10:58:18,1.01101920081093,3.88975447042062,4,4
"249","A113a",687,2020-08-22 11:01:10,1.00707851308366,3.70119007461865,4,4
"250","A113a",688,2020-08-22 11:01:53,1.17495959561896,3.47952162719038,4,4
"251","A113a",692,2020-08-22 11:03:48,0.878632657445707,3.53662462235331,4,4
"252","A113a",698,2020-08-22 11:06:30,0.944113568177062,3.42935271908375,4,4
"253","A113a",699,2020-08-22 11:07:04,1.02612370085417,3.62733616478599,2,2
"254","A113a",701,2020-08-22 11:08:15,1.13047877370152,3.71074037831796,4,4
"255","A113a",702,2020-08-22 11:08:59,1.26664280632266,3.53957975822267,4,4
"256","A113a",705,2020-08-22 11:10:29,1.2412794468326,3.61535575439649,4,4
"257","A113a",706,2020-08-22 11:11:09,1.19233904458949,3.4365065884576,4,4
"258","A113a",715,2020-08-22 11:15:13,1.3215521435648,3.86845217198729,4,4
"259","A113a",716,2020-08-22 11:16:04,1.10818052687762,3.61746251090797,4,4
"260","A113a",722,2020-08-22 11:18:13,0.731927643638705,3.46116633756145,4,4
"261","A113a",723,2020-08-22 11:18:47,0.834273722533838,3.72693671303169,4,4
"262","A113a",728,2020-08-22 11:21:11,0.690006602276857,3.46276452028201,4,4
"263","A113a",730,2020-08-22 11:21:46,0.914981486584433,3.70235570987989,4,4
"264","A113a",734,2020-08-22 11:23:52,0.908263411905194,3.5549838061336,4,4
"265","A113a",735,2020-08-22 11:24:31,0.765810878851634,3.82249156762574,4,4
"266","A113a",741,2020-08-22 11:27:12,1.04553025998508,3.99460712992983,4,4
"267","A113a",746,2020-08-22 11:29:43,0.861901999901085,3.43339118096666,4,4
"268","A113a",749,2020-08-22 11:31:12,0.627303510833504,3.50494558447435,4,4
"269","A113a",750,2020-08-22 11:31:48,0.789874254173869,3.42308942103098,4,4
"270","A113a",755,2020-08-22 11:34:07,1.05638093150803,3.49176904723492,2,2
"271","A113a",756,2020-08-22 11:34:43,0.958005614313951,3.62497304664344,2,2
"272","A113a",758,2020-08-22 11:35:44,0.745504089437798,3.44422197254752,2,2
"273","A113a",762,2020-08-22 11:37:47,0.765876479843183,3.57960107365541,2,2
"274","A113a",767,2020-08-22 11:39:53,1.14681033909607,3.85030495616043,2,2
"275","A113a",774,2020-08-22 11:43:26,0.925122980800277,3.57407997583431,4,4
"276","A113a",779,2020-08-22 11:45:55,1.06669510823751,3.77569280354663,4,4
"277","A113a",781,2020-08-22 11:47:07,0.830112417417312,3.46163651215095,2,2
"278","A113a",787,2020-08-22 11:49:39,0.84289116696187,3.94979127475592,2,2
"279","A113a",788,2020-08-22 11:50:34,1.18239975388921,3.91028268288654,2,2
"280","A113a",792,2020-08-22 11:52:29,0.763711520044227,3.71993959439149,2,2
"281","A113a",793,2020-08-22 11:53:14,0.990507047280328,3.68971021936204,2,2
"282","A113a",794,2020-08-22 11:53:57,0.800938927477236,3.61460428908078,2,2
"283","A113a",795,2020-08-22 11:54:37,0.753393769495839,3.44438190267455,2,2
"284","A113a",796,2020-08-22 11:55:11,0.846679493874322,3.47721969114328,2,2
"285","A113a",804,2020-08-22 11:58:15,0.990629688768287,3.66068648921109,2,2
"286","A113a",807,2020-08-22 11:59:56,0.868447274437883,3.76769403766926,2,2
"287","A113a",822,2020-08-22 12:07:12,0.620318774203311,3.81478775431162,4,4
"288","A113a",827,2020-08-22 12:09:42,0.692154569877461,3.49132839579696,2,2
"289","A113a",828,2020-08-22 12:10:19,0.941016354985941,3.50421752909855,2,2
"290","A113a",830,2020-08-22 12:11:19,0.931224078629592,3.48634389135649,2,2
"291","A113a",832,2020-08-22 12:12:20,0.830121707363114,3.66495345398449,2,2
"292","A113b",833,2020-08-22 12:13:03,0.981345910901019,3.63979007115455,2,2
"293","A113b",834,2020-08-22 12:13:46,0.825320760442414,3.53617177899683,2,2
"294","A113b",840,2020-08-22 12:16:32,0.970039037509845,3.70438603818941,2,2
"295","A113b",844,2020-08-22 12:18:16,0.881604541448962,3.43578719009548,2,2
"296","A113b",845,2020-08-22 12:18:51,0.907523836192706,3.58203561294714,2,2
"297","A113b",846,2020-08-22 12:19:29,1.03614431281746,3.41928879872122,2,2
"298","A113b",848,2020-08-22 12:20:25,0.955431689868109,4.09930189885336,2,2
"299","A113b",855,2020-08-22 12:23:34,0.70870900999558,3.62760014175237,4,4
"300","A113b",856,2020-08-22 12:24:14,1.18438415227977,3.95317124458468,4,4
"301","A113b",870,2020-08-22 12:29:59,1.28494014592632,3.55206180687718,4,4
"302","A113b",874,2020-08-22 12:31:33,0.856695758080527,3.64638651117049,2,2
"303","A113b",892,2020-08-22 12:39:29,0.634570378667296,3.42711950061492,2,2
"304","A113b",893,2020-08-22 12:40:03,1.28497218633096,3.84993915074398,2,2
"305","A113b",898,2020-08-22 12:41:58,0.968883803487455,3.54637172012452,2,2
